ID,HPRICE1,HSIZE,HNBATHR,HFLOOR,BUILDY,RILAK,NSCDIS,NPARK,URSUB,D_PMSP,D_PCBD,D_PRAILS
5771,9030,91.81,1,2,2009,0,0,1,0,754.4097549,2063,2988.342
5777,9270,117.92,2,1,2010,0,0,1,0,685.9652615,3123,4037.41
5780,9460,131.57,2,6,2010,0,0,1,0,827.0486564,3064,3978.405
5781,9510,166.29,2,1,2010,0,0,1,2,844.290151,3071,3985.426
5782,9460,143.5,2,5,2010,0,0,1,0,890.4922751,3122,4036.283
5785,9320,140.08,2,4,2010,0,0,1,2,890.7339079,3127,4041.606
5787,9450,141.77,2,3,2010,0,0,1,0,881.0053316,3081,3994.967
5789,9450,139.37,2,1,2010,0,0,1,2,830.5415967,3043,3956.682
5793,7700,100.93,1,7,2008,0,0,1,2,761.6422097,2265,3190.607
5794,7610,100.93,1,6,2008,0,0,1,2,773.313166,2274,3199.572
5797,7880,78.32,1,9,2008,0,0,1,0,712.4744635,2247,3172.207
5799,7970,82.25,1,7,2008,0,0,1,0,777.9722593,2030,2955.217
5800,7880,82.25,1,5,2008,0,0,1,2,760.9995084,2283,3208.634
5801,8220,78.32,1,11,2008,0,0,1,0,722.9109757,2218,3143.553
5804,6640,118.65,2,5,2008,0,0,1,0,765.2557091,2257,3182.762
5805,7870,93.57,1,8,2008,0,0,1,0,778.7645177,2022,2947.292
5806,7870,93.57,1,6,2008,0,0,1,2,793.0121864,2021,2946.768
5808,7870,107.75,1,7,2009,0,0,1,0,794.2639818,2297,3222.702
5814,6580,81.43,1,1,2010,0,0,0,0,4823.944406,3914,3425.049
5817,8840,64.38,1,3,1992,0,0,0,2,652.0036956,979,1904.369
5818,7890,62,1,2,1998,0,0,0,0,676.8286844,957,1882.218
5819,8830,40.2,1,3,1995,0,0,0,2,584.0322688,1020,1945.24
5822,6540,101.63,2,6,2006,0,0,1,0,7734.333954,3567,4492.811
5826,7530,67,1,3,1990,0,0,0,2,508.2776104,1044,1969.184
5828,10440,108,1,11,2001,0,0,0,0,485.9130726,1056,1981.464
5829,8060,66,1,4,1988,0,0,0,0,1071.343307,931,1856.706
5830,8330,75.13,1,4,1999,0,0,0,2,1061.68954,934,1859.723
5835,6680,103,1,1,2004,0,0,0,0,1651.957908,1746,2671.408
5839,5840,48,1,2,2007,0,0,0,2,2056.462648,1831,2756.119
5840,4600,108,1,2,2008,0,0,0,2,2023.792463,1805,2730.355
5841,6100,105,1,3,2008,0,0,0,2,1988.89721,1829,2755.07
5843,10960,128.75,2,2,2005,0,0,0,0,601.6574424,1551,2476.832
