ID,N_type,Gender,Age,Stay,H_type,Education,Employ,F_income
680,2,2,51,28,1,1,3,1
681,2,2,58,58,1,1,3,1
682,3,1,37,27,1,3,1,5
683,1,2,32,14,1,3,1,5
684,1,1,42,18,1,4,1,4
685,1,2,41,41,1,3,1,6
686,1,1,68,68,1,1,3,2
687,1,1,75,75,1,1,3,4
688,1,2,28,3,2,2,1,4
689,1,1,37,37,1,3,1,4
690,1,2,69,69,1,2,3,1
691,1,1,36,8,1,4,1,4
692,1,2,24,4,2,3,1,2
693,1,1,53,40,1,2,1,5
694,1,1,68,32,1,1,3,2
695,1,2,71,71,1,1,3,2
696,1,1,35,8,1,3,1,5
697,1,2,42,42,1,2,1,4
698,1,1,36,36,1,2,1,3
699,1,1,52,52,1,3,1,4
