ID,N_type,Gender,Age,Stay,N_year,H_type,Education,Employ,H_price
415,2,2,29,10,4,2,3,2,90
433,4,2,45,23,15,1,3,1,330
434,4,2,50,20,10,1,4,1,580
435,4,2,70,29,15,1,3,3,210
436,4,1,52,19,8,1,3,1,240
437,4,1,42,18,10,1,4,1,820
439,4,2,33,18,13,1,3,1,280
440,4,2,57,20,8,2,2,3,140
441,4,2,23,16,13,2,3,1,820
442,4,2,50,18,7,2,3,2,390
443,4,1,48,19,9,1,2,1,350
444,4,2,37,17,10,1,3,1,540
446,4,1,48,24,16,1,4,1,500
447,4,1,65,65,8,1,2,3,300
448,4,1,35,18,12,1,3,1,450
449,4,2,76,27,10,1,1,3,350
450,4,1,52,19,8,1,2,1,290
451,4,2,35,18,12,1,3,1,540
452,4,2,60,23,10,1,1,3,210
453,3,1,78,29,12,1,3,3,210
454,3,1,86,28,9,1,3,3,130
455,3,2,18,8,4,1,3,2,240
456,3,2,81,29,12,1,3,3,510
457,3,1,82,32,15,1,1,3,200
458,3,1,80,28,11,1,1,3,170
459,3,2,22,10,6,2,4,1,520
460,3,2,22,15,12,2,3,2,130
461,3,2,23,15,12,2,3,1,240
462,3,2,35,20,15,1,4,1,380
463,3,2,45,11,11,1,3,3,160
464,3,2,21,8,3,2,3,2,180
465,3,2,36,36,12,1,4,1,450
466,3,2,61,18,4,1,3,3,310
467,3,1,30,14,9,2,4,1,160
468,3,1,24,14,10,1,3,1,240
469,3,2,48,22,13,2,3,2,200
470,3,2,21,14,12,2,3,2,140
471,3,1,37,15,7,1,4,1,610
472,3,2,30,15,10,2,3,1,530
473,3,1,54,20,9,1,3,1,510
474,3,2,34,11,3,1,3,1,180
475,3,2,44,17,8,1,4,1,520
476,3,1,27,8,2,2,2,1,220
477,3,2,45,22,14,1,4,1,300
478,3,2,47,22,13,1,3,3,280
479,3,2,24,17,15,2,1,1,380
481,3,1,28,11,5,2,3,1,250
483,3,1,70,27,13,1,1,3,380
484,3,2,82,27,9,1,2,3,240
485,3,1,86,33,15,1,3,3,220
486,3,2,88,31,12,1,1,3,130
487,3,2,70,26,11,1,2,3,140
488,3,1,84,29,10,1,1,3,130
489,3,2,50,21,11,1,2,1,240
490,4,1,34,18,12,2,3,1,250
500,4,2,70,70,12,1,1,3,270
501,4,1,70,27,12,1,2,3,160
502,4,2,79,25,7,2,1,3,220
507,2,1,50,16,5,2,2,1,170
508,2,2,72,23,7,1,3,3,160
509,2,1,53,18,6,1,2,2,160
510,2,2,32,14,8,1,3,2,250
539,1,1,32,21,17,1,3,1,330
540,1,2,47,18,8,1,2,3,200
541,1,1,76,27,10,1,2,3,300
542,1,1,36,20,14,2,1,1,330
543,1,1,53,20,9,1,2,1,270
544,1,2,55,27,17,1,2,3,270
545,1,2,29,11,11,1,3,1,290
546,1,1,40,21,14,1,4,1,300
547,1,2,42,25,19,1,3,1,310
548,1,2,36,26,22,1,4,1,470
549,1,1,67,28,15,1,3,3,310
550,1,2,67,25,11,1,1,3,220
551,1,1,34,24,20,1,3,1,500
552,1,1,61,25,13,1,2,3,220
553,1,1,55,24,14,1,3,1,630
554,1,2,62,26,14,2,3,3,180
555,1,1,80,80,19,1,3,3,270
556,1,1,23,19,17,1,2,1,220
557,1,1,53,25,15,2,2,1,270
558,1,1,64,24,10,2,3,3,250
559,1,1,64,27,15,1,1,3,140
560,1,2,62,31,20,1,2,3,220
561,1,2,60,26,15,2,2,3,160
562,1,2,50,23,14,1,2,3,200
563,1,2,45,20,11,1,2,1,300
565,1,2,20,14,12,1,3,1,220
566,1,1,42,22,15,1,1,1,290
567,1,1,65,31,19,1,1,3,150
568,1,2,39,19,12,1,3,1,240
571,1,1,61,30,20,1,2,3,290
572,1,1,28,21,18,1,3,1,250
573,1,1,25,17,14,2,3,1,280
574,1,1,72,27,12,1,3,3,250
575,1,2,45,22,14,1,3,1,250
576,1,2,28,16,12,2,4,1,240
577,1,1,26,18,15,1,3,1,390
578,1,1,36,25,21,2,3,1,220
579,1,1,41,17,9,1,4,1,420
580,1,1,45,13,13,1,3,1,310
581,1,2,40,25,20,1,3,1,300
582,1,2,41,19,11,1,3,1,350
583,1,1,49,19,9,2,3,1,360
584,1,2,46,25,18,1,3,1,310
585,1,1,48,48,17,1,3,3,250
586,1,1,35,23,19,1,4,1,390
587,1,2,25,18,16,2,3,1,400
589,1,1,43,21,14,1,3,1,710
590,1,1,25,13,13,2,3,1,290
591,1,2,34,20,15,1,3,1,310
